FIPS,percent_affected,state,county
04011,0.0,AZ,Greenlee
04012,0.0,AZ,La Paz
04013,0.0,AZ,Maricopa
04015,0.0,AZ,Mohave
04017,0.0,AZ,Navajo
04019,0.0,AZ,Pima
04021,0.0,AZ,Pinal
04023,0.0,AZ,Santa Cruz
04025,0.0,AZ,Yavapai
04027,0.0,AZ,Yuma
05001,5.83,AR,Arkansas
05003,2.48,AR,Ashley
05005,0.0,AR,Baxter
05007,0.0,AR,Benton
05009,0.0,AR,Boone
05011,10.62,AR,Bradley
05013,22.03,AR,Calhoun
05015,0.0,AR,Carroll
05017,40.62,AR,Chicot
05019,0.0,AR,Clark
05021,0.0,AR,Clay
05023,0.0,AR,Cleburne
05025,0.0,AR,Cleveland
05027,1.39,AR,Columbia
05029,0.0,AR,Conway
05031,0.0,AR,Craighead
05033,0.0,AR,Crawford
05035,7.05,AR,Crittenden
05037,0.0,AR,Cross
05039,0.0,AR,Dallas
05041,36.22,AR,Desha
05043,0.0,AR,Drew
05045,0.0,AR,Faulkner
05047,0.0,AR,Franklin
05049,0.0,AR,Fulton
05051,0.0,AR,Garland
05053,0.0,AR,Grant
05055,0.0,AR,Greene
05057,0.0,AR,Hempstead
05059,0.0,AR,Hot Spring
05061,0.0,AR,Howard
05063,5.98,AR,Independence
05065,0.0,AR,Izard
05067,15.13,AR,Jackson
05069,0.0,AR,Jefferson
05071,0.0,AR,Johnson
05073,0.0,AR,Lafayette
05075,22.45,AR,Lawrence
05077,34.06,AR,Lee
05079,0.0,AR,Lincoln
05081,0.0,AR,Little River
05083,0.0,AR,Logan
05085,0.0,AR,Lonoke
05087,0.0,AR,Madison
05089,0.0,AR,Marion
05091,0.0,AR,Miller
05093,33.96,AR,Mississippi
05095,23.94,AR,Monroe
05097,0.0,AR,Montgomery
05099,0.0,AR,Nevada
05101,0.0,AR,Newton
05103,18.44,AR,Ouachita
05105,0.0,AR,Perry
05107,3.54,AR,Phillips
05109,0.0,AR,Pike
05111,0.0,AR,Poinsett
05113,0.0,AR,Polk
05115,0.0,AR,Pope
05117,27.01,AR,Prairie
05119,0.0,AR,Pulaski
05121,0.0,AR,Randolph
05123,0.64,AR,St. Francis
05125,0.0,AR,Saline
05127,0.0,AR,Scott
05129,0.0,AR,Searcy
05131,0.0,AR,Sebastian
05133,0.0,AR,Sevier
05135,0.0,AR,Sharp
05137,0.0,AR,Stone
05139,17.08,AR,Union
05141,0.0,AR,Van Buren
05143,0.0,AR,Washington
05145,6.9,AR,White
05147,13.32,AR,Woodruff
05149,0.0,AR,Yell
06001,0.0,CA,Alameda
06003,0.0,CA,Alpine
06005,0.0,CA,Amador
06007,0.0,CA,Butte
06009,0.0,CA,Calaveras
06011,0.0,CA,Colusa
06013,0.0,CA,Contra Costa
06015,0.0,CA,Del Norte
06017,0.0,CA,El Dorado
06019,0.0,CA,Fresno
06021,0.0,CA,Glenn
06023,0.0,CA,Humboldt
06025,0.0,CA,Imperial
06027,0.0,CA,Inyo
06029,0.0,CA,Kern
06031,0.0,CA,Kings
06033,0.0,CA,Lake
06035,0.0,CA,Lassen
06037,0.0,CA,Los Angeles
06039,0.0,CA,Madera
06041,0.0,CA,Marin
06043,0.0,CA,Mariposa
06045,0.0,CA,Mendocino
06047,0.0,CA,Merced
06049,0.0,CA,Modoc
06051,0.0,CA,Mono
06053,0.0,CA,Monterey
06055,0.0,CA,Napa
06057,0.0,CA,Nevada
06059,0.0,CA,Orange
06061,0.0,CA,Placer
06063,0.0,CA,Plumas
06065,0.0,CA,Riverside
06067,0.0,CA,Sacramento
06069,0.0,CA,San Benito
06071,0.0,CA,San Bernardino
06073,0.0,CA,San Diego
06075,0.0,CA,San Francisco
06077,0.0,CA,San Joaquin
06079,0.0,CA,San Luis Obispo
06081,0.0,CA,San Mateo
06083,0.0,CA,Santa Barbara
06085,0.0,CA,Santa Clara
06087,0.0,CA,Santa Cruz
06089,0.0,CA,Shasta
06091,0.0,CA,Sierra
06093,0.0,CA,Siskiyou
06095,0.0,CA,Solano
06097,0.0,CA,Sonoma
06099,0.0,CA,Stanislaus
06101,0.0,CA,Sutter
06103,0.0,CA,Tehama
06105,0.0,CA,Trinity
06107,0.0,CA,Tulare
06109,0.0,CA,Tuolumne
06111,0.0,CA,Ventura
06113,0.0,CA,Yolo
06115,0.0,CA,Yuba
08001,0.0,CO,Adams
08003,0.0,CO,Alamosa
08005,0.0,CO,Arapahoe
08007,0.0,CO,Archuleta
08009,0.0,CO,Baca
08011,0.0,CO,Bent
08013,0.0,CO,Boulder
08014,0.0,CO,Broomfield
08015,0.0,CO,Chaffee
08017,0.0,CO,Cheyenne
08019,0.0,CO,Clear Creek
08021,0.0,CO,Conejos
08023,0.0,CO,Costilla
08025,0.0,CO,Crowley
08027,0.0,CO,Custer
08029,0.0,CO,Delta
08031,0.0,CO,Denver
08033,0.0,CO,Dolores
08035,0.0,CO,Douglas
08037,0.0,CO,Eagle
08039,0.0,CO,Elbert
08041,0.0,CO,El Paso
08043,0.0,CO,Fremont
08045,0.0,CO,Garfield
08047,0.0,CO,Gilpin
08049,0.0,CO,Grand
08051,0.0,CO,Gunnison
08053,0.0,CO,Hinsdale
08055,0.0,CO,Huerfano
08057,0.0,CO,Jackson
08059,0.0,CO,Jefferson
08061,0.0,CO,Kiowa
08063,0.0,CO,Kit Carson
08065,0.0,CO,Lake
08067,0.0,CO,La Plata
08069,0.0,CO,Larimer
08071,0.0,CO,Las Animas
08073,0.0,CO,Lincoln
08075,0.0,CO,Logan
08077,0.0,CO,Mesa
08079,0.0,CO,Mineral
08081,0.0,CO,Moffat
08083,0.0,CO,Montezuma
08085,0.0,CO,Montrose
08087,0.0,CO,Morgan
08089,0.0,CO,Otero
08091,0.0,CO,Ouray
08093,0.0,CO,Park
08095,0.0,CO,Phillips
08097,0.0,CO,Pitkin
08099,0.0,CO,Prowers
08101,0.0,CO,Pueblo
08103,0.0,CO,Rio Blanco
08105,0.0,CO,Rio Grande
08107,0.0,CO,Routt
08109,0.0,CO,Saguache
08111,0.0,CO,San Juan
08113,0.0,CO,San Miguel
08115,0.0,CO,Sedgwick
08117,0.0,CO,Summit
08119,0.0,CO,Teller
08121,0.0,CO,Washington
08123,0.0,CO,Weld
08125,0.0,CO,Yuma
09001,0.0,CT,Fairfield
09003,0.0,CT,Hartford
09005,0.0,CT,Litchfield
09007,0.0,CT,Middlesex
09009,0.0,CT,New Haven
09011,0.0,CT,New London
09013,0.0,CT,Tolland
09015,0.0,CT,Windham
10001,0.0,DE,Kent
10003,0.0,DE,New Castle
10005,0.0,DE,Sussex
12001,0.0,FL,Alachua
12003,0.0,FL,Baker
12005,0.0,FL,Bay
12007,0.0,FL,Bradford
12009,0.0,FL,Brevard
12011,0.0,FL,Broward
12013,12.31,FL,Calhoun
12015,0.0,FL,Charlotte
12017,0.0,FL,Citrus
12019,0.0,FL,Clay
12021,0.0,FL,Collier
12023,0.0,FL,Columbia
12027,0.0,FL,DeSoto
12029,0.0,FL,Dixie
12031,0.0,FL,Duval
12033,0.0,FL,Escambia
12035,0.0,FL,Flagler
12037,15.16,FL,Franklin
12039,0.1,FL,Gadsden
12041,0.0,FL,Gilchrist
12043,0.0,FL,Glades
12045,21.13,FL,Gulf
12047,0.0,FL,Hamilton
12049,0.0,FL,Hardee
12051,0.0,FL,Hendry
12053,0.0,FL,Hernando
12055,0.0,FL,Highlands
12057,0.0,FL,Hillsborough
12059,0.0,FL,Holmes
12061,0.0,FL,Indian River
12063,4.05,FL,Jackson
12065,0.0,FL,Jefferson
12067,0.0,FL,Lafayette
12069,0.0,FL,Lake
12071,0.0,FL,Lee
12073,0.0,FL,Leon
12075,0.0,FL,Levy
12077,17.28,FL,Liberty
12079,0.0,FL,Madison
12081,0.0,FL,Manatee
12083,0.0,FL,Marion
12085,0.0,FL,Martin
12086,0.0,FL,Miami-Dade
12087,0.0,FL,Mainland Monroe
12089,0.0,FL,Nassau
12091,0.0,FL,Okaloosa
12093,0.0,FL,Okeechobee
12095,0.0,FL,Orange
12097,0.0,FL,Osceola
12099,0.0,FL,Palm Beach
12101,0.0,FL,Pasco
12103,0.0,FL,Pinellas
12105,0.0,FL,Polk
12107,0.0,FL,Putnam
12109,0.0,FL,St. Johns
12111,0.0,FL,St. Lucie
12113,0.0,FL,Santa Rosa
12115,0.0,FL,Sarasota
12117,0.0,FL,Seminole
12119,0.0,FL,Sumter
12121,0.0,FL,Suwannee
12123,0.0,FL,Taylor
12125,0.0,FL,Union
12127,0.0,FL,Volusia
12129,0.0,FL,Wakulla
12131,0.0,FL,Walton
12133,0.0,FL,Washington
13001,10.32,GA,Appling
13003,0.0,GA,Atkinson
13005,0.0,GA,Bacon
13007,0.0,GA,Baker
13009,0.0,GA,Baldwin
13011,0.0,GA,Banks
13013,0.0,GA,Barrow
13015,0.0,GA,Bartow
13017,4.47,GA,Ben Hill
13019,0.0,GA,Berrien
13021,25.94,GA,Bibb
13023,3.75,GA,Bleckley
13025,0.0,GA,Brantley
13027,0.0,GA,Brooks
13029,0.0,GA,Bryan
13031,0.0,GA,Bulloch
13033,2.54,GA,Burke
13035,0.0,GA,Butts
13037,0.0,GA,Calhoun
13039,0.0,GA,Camden
13043,0.0,GA,Candler
13045,0.0,GA,Carroll
13047,0.0,GA,Catoosa
13049,0.0,GA,Charlton
13051,0.0,GA,Chatham
13053,0.0,GA,Chattahoochee
13055,0.0,GA,Chattooga
13057,0.0,GA,Cherokee
13059,0.0,GA,Clarke
13061,0.0,GA,Clay
13063,0.0,GA,Clayton
13065,0.0,GA,Clinch
13067,0.0,GA,Cobb
13069,0.12,GA,Coffee
13071,0.0,GA,Colquitt
13073,0.0,GA,Columbia
13075,0.0,GA,Cook
13077,0.0,GA,Coweta
13079,8.16,GA,Crawford
13081,0.0,GA,Crisp
13083,0.0,GA,Dade
13085,0.0,GA,Dawson
13087,0.0,GA,Decatur
13089,0.0,GA,DeKalb
13091,5.1,GA,Dodge
13093,9.38,GA,Dooly
13095,0.16,GA,Dougherty
13097,0.0,GA,Douglas
13099,7.51,GA,Early
13101,0.0,GA,Echols
13103,6.65,GA,Effingham
13105,0.0,GA,Elbert
13107,3.84,GA,Emanuel
13109,24.2,GA,Evans
13111,0.0,GA,Fannin
13113,2.73,GA,Fayette
13115,0.0,GA,Floyd
13117,0.0,GA,Forsyth
13119,0.0,GA,Franklin
13121,0.0,GA,Fulton
13123,0.0,GA,Gilmer
13125,0.0,GA,Glascock
13127,0.0,GA,Glynn
13129,0.0,GA,Gordon
13131,0.0,GA,Grady
13133,0.0,GA,Greene
13135,0.0,GA,Gwinnett
13137,0.0,GA,Habersham
13139,0.0,GA,Hall
13141,0.0,GA,Hancock
13143,0.0,GA,Haralson
13145,0.17,GA,Harris
13147,0.0,GA,Hart
13149,0.0,GA,Heard
13151,0.0,GA,Henry
13153,11.19,GA,Houston
13155,0.0,GA,Irwin
13157,0.0,GA,Jackson
13159,0.0,GA,Jasper
13161,3.04,GA,Jeff Davis
13163,0.0,GA,Jefferson
13165,15.55,GA,Jenkins
13167,3.01,GA,Johnson
13169,1.15,GA,Jones
13171,0.0,GA,Lamar
13173,0.0,GA,Lanier
13175,2.15,GA,Laurens
13177,19.76,GA,Lee
13179,0.0,GA,Liberty
13181,0.0,GA,Lincoln
13183,0.21,GA,Long
13185,0.0,GA,Lowndes
13187,0.0,GA,Lumpkin
13189,0.0,GA,McDuffie
13191,0.0,GA,McIntosh
13193,21.75,GA,Macon
13195,0.0,GA,Madison
13197,0.0,GA,Marion
13199,0.0,GA,Meriwether
13201,0.0,GA,Miller
13205,0.0,GA,Mitchell
13207,0.0,GA,Monroe
13209,3.47,GA,Montgomery
13211,0.0,GA,Morgan
13213,0.0,GA,Murray
13215,14.81,GA,Muscogee
13217,0.0,GA,Newton
13219,0.0,GA,Oconee
13221,0.0,GA,Oglethorpe
13223,0.0,GA,Paulding
13225,1.83,GA,Peach
13227,0.0,GA,Pickens
13229,0.0,GA,Pierce
13231,2.21,GA,Pike
13233,0.0,GA,Polk
13235,44.83,GA,Pulaski
13237,0.0,GA,Putnam
13239,0.0,GA,Quitman
13241,0.0,GA,Rabun
13243,0.0,GA,Randolph
13245,0.0,GA,Richmond
13247,0.0,GA,Rockdale
13249,0.0,GA,Schley
13251,3.21,GA,Screven
13253,12.63,GA,Seminole
13255,11.44,GA,Spalding
13257,0.0,GA,Stephens
13259,0.0,GA,Stewart
13261,3.37,GA,Sumter
13263,1.64,GA,Talbot
13265,0.0,GA,Taliaferro
13267,25.13,GA,Tattnall
13269,12.01,GA,Taylor
13271,9.16,GA,Telfair
13273,5.47,GA,Terrell
13275,0.0,GA,Thomas
13277,0.0,GA,Tift
13279,14.29,GA,Toombs
13281,0.0,GA,Towns
13283,0.0,GA,Treutlen
13285,0.0,GA,Troup
13287,0.0,GA,Turner
13289,12.84,GA,Twiggs
13291,0.0,GA,Union
13293,7.03,GA,Upson
13295,0.0,GA,Walker
13297,0.0,GA,Walton
13299,0.0,GA,Ware
13301,0.0,GA,Warren
13303,2.08,GA,Washington
13305,2.1,GA,Wayne
13307,0.0,GA,Webster
13309,0.09,GA,Wheeler
13311,0.0,GA,White
13313,0.0,GA,Whitfield
13315,13.53,GA,Wilcox
13317,0.0,GA,Wilkes
13319,6.01,GA,Wilkinson
13321,0.0,GA,Worth
15001,0.0,HI,Hawaii in Hawaii
15003,0.0,HI,Oahu in Honolulu
15005,0.0,HI,Kahoolawe
15007,0.0,HI,Niihau in Kauai
15009,0.0,HI,Maui
16001,0.0,ID,Ada
16003,0.0,ID,Adams
16005,0.0,ID,Bannock
16007,0.0,ID,Bear Lake
16009,0.0,ID,Benewah
16011,0.0,ID,Bingham
16013,0.0,ID,Blaine
16015,0.0,ID,Boise
16017,0.0,ID,Bonner
16019,0.0,ID,Bonneville
16021,0.0,ID,Boundary
16023,0.0,ID,Butte
16025,0.0,ID,Camas
16027,0.0,ID,Canyon
16029,0.0,ID,Caribou
16031,0.0,ID,Cassia
16033,0.0,ID,Clark
16035,0.0,ID,Clearwater
16037,0.0,ID,Custer
16039,0.0,ID,Elmore
16041,0.0,ID,Franklin
16043,0.0,ID,Fremont
16045,0.0,ID,Gem
16047,0.0,ID,Gooding
16049,0.0,ID,Idaho
16051,0.0,ID,Jefferson
16053,0.0,ID,Jerome
16055,0.0,ID,Kootenai
16057,0.0,ID,Latah
16059,0.0,ID,Lemhi
16061,0.0,ID,Lewis
16063,0.0,ID,Lincoln
16065,0.0,ID,Madison
16067,0.0,ID,Minidoka
16069,0.0,ID,Nez Perce
16071,0.0,ID,Oneida
16073,0.0,ID,Owyhee
16075,0.0,ID,Payette
16077,0.0,ID,Power
16079,0.0,ID,Shoshone
16081,0.0,ID,Teton
16083,0.0,ID,Twin Falls
16085,0.0,ID,Valley
16087,0.0,ID,Washington
17001,10.91,IL,Adams
17003,42.19,IL,Alexander
17005,0.0,IL,Bond
17007,0.0,IL,Boone
17009,0.0,IL,Brown
17011,0.0,IL,Bureau
17013,58.05,IL,Calhoun
17015,0.0,IL,Carroll
17017,0.0,IL,Cass
17019,0.0,IL,Champaign
17021,0.0,IL,Christian
17023,0.0,IL,Clark
17025,0.0,IL,Clay
17027,0.0,IL,Clinton
17029,0.0,IL,Coles
17031,0.0,IL,Cook
17033,0.0,IL,Crawford
17035,0.0,IL,Cumberland
17037,0.0,IL,De Kalb
17039,0.0,IL,De Witt
17041,0.0,IL,Douglas
17043,0.0,IL,DuPage
17045,0.0,IL,Edgar
17047,0.0,IL,Edwards
17049,0.0,IL,Effingham
17051,0.0,IL,Fayette
17053,0.0,IL,Ford
17055,0.0,IL,Franklin
17057,0.0,IL,Fulton
17059,0.0,IL,Gallatin
17061,23.37,IL,Greene
17063,0.0,IL,Grundy
17065,0.0,IL,Hamilton
17067,8.23,IL,Hancock
17069,0.0,IL,Hardin
17071,15.22,IL,Henderson
17073,0.0,IL,Henry
17075,0.0,IL,Iroquois
17077,25.27,IL,Jackson
17079,0.0,IL,Jasper
17081,0.0,IL,Jefferson
17083,24.43,IL,Jersey
17085,0.0,IL,Jo Daviess
17087,0.0,IL,Johnson
17089,0.0,IL,Kane
17091,0.0,IL,Kankakee
17093,0.0,IL,Kendall
17095,0.0,IL,Knox
17097,0.0,IL,Lake
17099,0.0,IL,La Salle
17101,0.0,IL,Lawrence
17103,0.0,IL,Lee
17105,0.0,IL,Livingston
17107,0.0,IL,Logan
17109,0.0,IL,McDonough
17111,0.0,IL,McHenry
17113,0.0,IL,McLean
17115,0.0,IL,Macon
17117,0.0,IL,Macoupin
17119,0.0,IL,Madison
17121,0.0,IL,Marion
17123,0.0,IL,Marshall
17125,0.0,IL,Mason
17127,2.06,IL,Massac
17129,0.0,IL,Menard
17131,5.36,IL,Mercer
17133,20.22,IL,Monroe
17135,0.0,IL,Montgomery
17137,0.0,IL,Morgan
17139,0.0,IL,Moultrie
17141,0.0,IL,Ogle
17143,0.0,IL,Peoria
17145,0.0,IL,Perry
17147,0.0,IL,Piatt
17149,25.43,IL,Pike
17151,0.0,IL,Pope
17153,32.87,IL,Pulaski
17155,0.0,IL,Putnam
17157,31.57,IL,Randolph
17159,0.0,IL,Richland
17161,17.37,IL,Rock Island
17163,0.0,IL,St. Clair
17165,0.0,IL,Saline
17167,0.0,IL,Sangamon
17169,0.0,IL,Schuyler
17171,0.0,IL,Scott
17173,0.0,IL,Shelby
17175,0.0,IL,Stark
17177,0.0,IL,Stephenson
17179,0.0,IL,Tazewell
17181,27.18,IL,Union
17183,0.0,IL,Vermilion
17185,0.0,IL,Wabash
17187,0.0,IL,Warren
17189,0.0,IL,Washington
17191,0.0,IL,Wayne
17193,0.0,IL,White
17195,0.0,IL,Whiteside
17197,0.0,IL,Will
17199,0.0,IL,Williamson
17201,0.0,IL,Winnebago
17203,0.0,IL,Woodford
18001,0.0,IN,Adams
18003,0.0,IN,Allen
18005,0.0,IN,Bartholomew
18007,0.0,IN,Benton
18009,0.0,IN,Blackford
18011,0.0,IN,Boone
18013,0.0,IN,Brown
18015,0.0,IN,Carroll
18017,0.0,IN,Cass
18019,0.0,IN,Clark
18021,0.0,IN,Clay
18023,0.0,IN,Clinton
18025,0.0,IN,Crawford
18027,0.0,IN,Daviess
18029,0.0,IN,Dearborn
18031,0.0,IN,Decatur
18033,0.0,IN,De Kalb
18035,0.0,IN,Delaware
18037,0.0,IN,Dubois
18039,0.0,IN,Elkhart
18041,0.0,IN,Fayette
18043,0.0,IN,Floyd
18045,0.0,IN,Fountain
18047,0.0,IN,Franklin
18049,0.0,IN,Fulton
18051,0.0,IN,Gibson
18053,0.0,IN,Grant
18055,0.0,IN,Greene
18057,0.0,IN,Hamilton
18059,0.0,IN,Hancock
18061,0.0,IN,Harrison
18063,0.0,IN,Hendricks
18065,0.0,IN,Henry
18067,0.0,IN,Howard
18069,0.0,IN,Huntington
18071,0.0,IN,Jackson
18073,0.0,IN,Jasper
18075,0.0,IN,Jay
18077,0.0,IN,Jefferson
18079,0.0,IN,Jennings
18081,0.0,IN,Johnson
18083,0.0,IN,Knox
18085,0.0,IN,Kosciusko
18087,0.0,IN,Lagrange
18089,0.0,IN,Lake
18091,0.0,IN,La Porte
18093,0.0,IN,Lawrence
18095,0.0,IN,Madison
18097,0.0,IN,Marion
18099,0.0,IN,Marshall
18101,0.0,IN,Martin
18103,0.0,IN,Miami
18105,0.0,IN,Monroe
18107,0.0,IN,Montgomery
18109,0.0,IN,Morgan
18111,0.0,IN,Newton
18113,0.0,IN,Noble
18115,0.0,IN,Ohio
18117,0.0,IN,Orange
18119,0.0,IN,Owen
18121,0.0,IN,Parke
18123,0.0,IN,Perry
18125,0.0,IN,Pike
18127,0.0,IN,Porter
18129,0.0,IN,Posey
18131,0.0,IN,Pulaski
18133,0.0,IN,Putnam
18135,0.0,IN,Randolph
18137,0.0,IN,Ripley
18139,0.0,IN,Rush
18141,0.0,IN,St. Joseph
18143,0.0,IN,Scott
18145,0.0,IN,Shelby
18147,0.0,IN,Spencer
18149,0.0,IN,Starke
18151,0.0,IN,Steuben
18153,0.0,IN,Sullivan
18155,0.0,IN,Switzerland
18157,0.0,IN,Tippecanoe
18159,0.0,IN,Tipton
18161,0.0,IN,Union
18163,0.0,IN,Vanderburgh
18165,0.0,IN,Vermillion
18167,0.0,IN,Vigo
18169,0.0,IN,Wabash
18171,0.0,IN,Warren
18173,0.0,IN,Warrick
18175,0.0,IN,Washington
18177,0.0,IN,Wayne
18179,0.0,IN,Wells
18181,0.0,IN,White
18183,0.0,IN,Whitley
19001,0.0,IA,Adair
19003,0.0,IA,Adams
19005,0.0,IA,Allamakee
19007,0.0,IA,Appanoose
19009,0.0,IA,Audubon
19011,0.0,IA,Benton
19013,0.0,IA,Black Hawk
19015,0.0,IA,Boone
19017,0.0,IA,Bremer
19019,0.0,IA,Buchanan
19021,0.0,IA,Buena Vista
19023,0.0,IA,Butler
19025,0.0,IA,Calhoun
19027,0.0,IA,Carroll
19029,0.0,IA,Cass
19031,0.0,IA,Cedar
19033,0.0,IA,Cerro Gordo
19035,0.0,IA,Cherokee
19037,0.0,IA,Chickasaw
19039,0.0,IA,Clarke
19041,0.0,IA,Clay
19043,0.0,IA,Clayton
19045,0.0,IA,Clinton
19047,0.0,IA,Crawford
19049,0.0,IA,Dallas
19051,0.0,IA,Davis
19053,0.0,IA,Decatur
19055,0.0,IA,Delaware
19057,14.71,IA,Des Moines
19059,0.0,IA,Dickinson
19061,0.0,IA,Dubuque
19063,0.0,IA,Emmet
19065,0.0,IA,Fayette
19067,0.0,IA,Floyd
19069,0.0,IA,Franklin
19071,0.0,IA,Fremont
19073,0.0,IA,Greene
19075,0.0,IA,Grundy
19077,0.0,IA,Guthrie
19079,0.0,IA,Hamilton
19081,0.0,IA,Hancock
19083,0.0,IA,Hardin
19085,0.0,IA,Harrison
19087,0.0,IA,Henry
19089,0.0,IA,Howard
19091,0.0,IA,Humboldt
19093,0.0,IA,Ida
19095,0.0,IA,Iowa
19097,0.0,IA,Jackson
19099,0.0,IA,Jasper
19101,0.0,IA,Jefferson
19103,0.0,IA,Johnson
19105,0.0,IA,Jones
19107,0.0,IA,Keokuk
19109,0.0,IA,Kossuth
19111,4.59,IA,Lee
19113,0.0,IA,Linn
19115,11.28,IA,Louisa
19117,0.0,IA,Lucas
19119,0.0,IA,Lyon
19121,0.0,IA,Madison
19123,0.0,IA,Mahaska
19125,0.0,IA,Marion
19127,0.0,IA,Marshall
19129,0.0,IA,Mills
19131,0.0,IA,Mitchell
19133,0.0,IA,Monona
19135,0.0,IA,Monroe
19137,0.0,IA,Montgomery
19139,5.98,IA,Muscatine
19141,0.0,IA,O'Brien
19143,0.0,IA,Osceola
19145,0.0,IA,Page
19147,0.0,IA,Palo Alto
19149,0.0,IA,Plymouth
19151,0.0,IA,Pocahontas
19153,0.0,IA,Polk
19155,0.0,IA,Pottawattamie
19157,0.0,IA,Poweshiek
19159,0.0,IA,Ringgold
19161,0.0,IA,Sac
19163,8.29,IA,Scott
19165,0.0,IA,Shelby
19167,0.0,IA,Sioux
19169,0.0,IA,Story
19171,0.0,IA,Tama
19173,0.0,IA,Taylor
19175,0.0,IA,Union
19177,0.0,IA,Van Buren
19179,0.0,IA,Wapello
19181,0.0,IA,Warren
19183,0.0,IA,Washington
19185,0.0,IA,Wayne
19187,0.0,IA,Webster
19189,0.0,IA,Winnebago
19191,0.0,IA,Winneshiek
19193,0.0,IA,Woodbury
19195,0.0,IA,Worth
19197,0.0,IA,Wright
20001,0.0,KS,Allen
20003,0.0,KS,Anderson
20005,0.0,KS,Atchison
20007,0.0,KS,Barber
20009,0.0,KS,Barton
20011,0.0,KS,Bourbon
20013,0.0,KS,Brown
20015,0.0,KS,Butler
20017,0.0,KS,Chase
20019,0.0,KS,Chautauqua
20021,0.0,KS,Cherokee
20023,0.0,KS,Cheyenne
20025,0.0,KS,Clark
20027,0.0,KS,Clay
20029,0.0,KS,Cloud
20031,0.0,KS,Coffey
20033,0.0,KS,Comanche
20035,0.0,KS,Cowley
20037,0.0,KS,Crawford
20039,0.0,KS,Decatur
20041,0.0,KS,Dickinson
20043,0.0,KS,Doniphan
20045,0.0,KS,Douglas
20047,0.0,KS,Edwards
20049,0.0,KS,Elk
20051,0.0,KS,Ellis
20053,0.0,KS,Ellsworth
20055,0.0,KS,Finney
20057,0.0,KS,Ford
20059,0.0,KS,Franklin
20061,0.0,KS,Geary
20063,0.0,KS,Gove
20065,0.0,KS,Graham
20067,0.0,KS,Grant
20069,0.0,KS,Gray
